github.com/docker/go-connections/nat,https://github.com/docker/go-connections/blob/master/nat/LICENSE,Apache-2.0
github.com/gorilla/websocket,https://github.com/gorilla/websocket/blob/master/LICENSE,BSD-2-Clause
github.com/go-chi/chi,https://github.com/go-chi/chi/blob/master/LICENSE,MIT
github.com/apparentlymart/go-cidr/cidr,https://github.com/apparentlymart/go-cidr/blob/master/cidr/LICENSE,MIT
github.com/go-openapi/inflect,https://github.com/go-openapi/inflect/blob/master/LICENCE,MIT
github.com/graphql-go/graphql,https://github.com/graphql-go/graphql/blob/master/LICENSE,MIT
github.com/go-git/go-billy/v5,https://github.com/go-git/go-billy/blob/master/v5/LICENSE,Apache-2.0
github.com/jackc/pgpassfile,https://github.com/jackc/pgpassfile/blob/master/LICENSE,MIT
github.com/jackc/pgservicefile,https://github.com/jackc/pgservicefile/blob/master/LICENSE,MIT
github.com/mattn/go-sqlite3,https://github.com/mattn/go-sqlite3/blob/master/LICENSE,MIT
github.com/sirupsen/logrus,https://github.com/sirupsen/logrus/blob/master/LICENSE,MIT
github.com/ory/dockertest/v3,https://github.com/ory/dockertest/blob/master/v3/LICENSE,Apache-2.0
github.com/docker/go-units,https://github.com/docker/go-units/blob/master/LICENSE,Apache-2.0
github.com/opencontainers/runc/libcontainer/user,https://github.com/opencontainers/runc/blob/master/libcontainer/user/LICENSE,Apache-2.0
github.com/stretchr/testify,https://github.com/stretchr/testify/blob/master/LICENSE,MIT
github.com/jbenet/go-context/io,https://github.com/jbenet/go-context/blob/master/io/LICENSE,MIT
github.com/emirpasic/gods,https://github.com/emirpasic/gods/blob/master/LICENSE,BSD-2-Clause
github.com/mitchellh/mapstructure,https://github.com/mitchellh/mapstructure/blob/master/LICENSE,MIT
github.com/pmezard/go-difflib/difflib,https://github.com/pmezard/go-difflib/blob/master/difflib/LICENSE,BSD-3-Clause
github.com/pkg/errors,https://github.com/pkg/errors/blob/master/LICENSE,BSD-2-Clause
github.com/hashicorp/hcl/v2,https://github.com/hashicorp/hcl/blob/master/v2/LICENSE,MPL-2.0
github.com/zclconf/go-cty/cty,https://github.com/zclconf/go-cty/blob/master/cty/LICENSE,MIT
github.com/vmihailenco/msgpack/v5,https://github.com/vmihailenco/msgpack/blob/master/v5/LICENSE,BSD-2-Clause
golang.org/x/net,Unknown,BSD-3-Clause
github.com/hashicorp/terraform,https://github.com/hashicorp/terraform/blob/master/LICENSE,MPL-2.0
